month,analysed_sst,EBUS,Region
1,16.164116,Humboldt,Poleward
2,16.458614,Humboldt,Poleward
3,15.885762,Humboldt,Poleward
4,14.772948,Humboldt,Poleward
5,14.05647,Humboldt,Poleward
6,13.229604,Humboldt,Poleward
7,12.565576,Humboldt,Poleward
8,12.2769985,Humboldt,Poleward
9,12.440433,Humboldt,Poleward
10,12.906677,Humboldt,Poleward
11,13.760482,Humboldt,Poleward
12,14.902091,Humboldt,Poleward
1,21.474457,Humboldt,Central
2,21.760448,Humboldt,Central
3,20.91845,Humboldt,Central
4,19.58642,Humboldt,Central
5,18.31491,Humboldt,Central
6,17.107,Humboldt,Central
7,16.15839,Humboldt,Central
8,15.7580185,Humboldt,Central
9,15.973949,Humboldt,Central
10,16.804276,Humboldt,Central
11,18.308582,Humboldt,Central
12,19.893948,Humboldt,Central
1,20.763412,Humboldt,Equatorward
2,21.23531,Humboldt,Equatorward
3,20.53012,Humboldt,Equatorward
4,19.097343,Humboldt,Equatorward
5,18.068981,Humboldt,Equatorward
6,17.677649,Humboldt,Equatorward
7,16.981567,Humboldt,Equatorward
8,16.252283,Humboldt,Equatorward
9,16.04616,Humboldt,Equatorward
10,16.407495,Humboldt,Equatorward
11,17.562895,Humboldt,Equatorward
12,18.979864,Humboldt,Equatorward
1,19.201221,Iberian-Canary,Equatorward
2,18.465746,Iberian-Canary,Equatorward
3,18.721813,Iberian-Canary,Equatorward
4,18.830704,Iberian-Canary,Equatorward
5,19.70888,Iberian-Canary,Equatorward
6,21.788893,Iberian-Canary,Equatorward
7,24.74348,Iberian-Canary,Equatorward
8,26.454296,Iberian-Canary,Equatorward
9,27.166567,Iberian-Canary,Equatorward
10,25.81051,Iberian-Canary,Equatorward
11,23.491863,Iberian-Canary,Equatorward
12,21.035938,Iberian-Canary,Equatorward
1,17.722233,Iberian-Canary,Central
2,17.12464,Iberian-Canary,Central
3,17.218328,Iberian-Canary,Central
4,17.787922,Iberian-Canary,Central
5,18.318937,Iberian-Canary,Central
6,19.147757,Iberian-Canary,Central
7,19.695396,Iberian-Canary,Central
8,20.427914,Iberian-Canary,Central
9,20.758986,Iberian-Canary,Central
10,20.761644,Iberian-Canary,Central
11,19.682655,Iberian-Canary,Central
12,18.710415,Iberian-Canary,Central
1,14.41916,Iberian-Canary,Poleward
2,13.813708,Iberian-Canary,Poleward
3,13.895909,Iberian-Canary,Poleward
4,14.760791,Iberian-Canary,Poleward
5,15.95026,Iberian-Canary,Poleward
6,17.345394,Iberian-Canary,Poleward
7,17.975414,Iberian-Canary,Poleward
8,18.316797,Iberian-Canary,Poleward
9,18.36525,Iberian-Canary,Poleward
10,17.938467,Iberian-Canary,Poleward
11,16.563416,Iberian-Canary,Poleward
12,15.202787,Iberian-Canary,Poleward
1,15.765023,California,Equatorward
2,15.390993,California,Equatorward
3,15.237211,California,Equatorward
4,15.713761,California,Equatorward
5,16.805729,California,Equatorward
6,18.161816,California,Equatorward
7,19.947468,California,Equatorward
8,20.744553,California,Equatorward
9,20.88807,California,Equatorward
10,19.783216,California,Equatorward
11,18.25914,California,Equatorward
12,16.665958,California,Equatorward
1,12.5231905,California,Central
2,12.199548,California,Central
3,11.903075,California,Central
4,11.550529,California,Central
5,11.772925,California,Central
6,12.599202,California,Central
7,13.765093,California,Central
8,14.6150055,California,Central
9,14.777288,California,Central
10,14.340277,California,Central
11,13.78814,California,Central
12,12.945884,California,Central
1,10.581783,California,Poleward
2,10.210074,California,Poleward
3,10.135231,California,Poleward
4,10.628151,California,Poleward
5,11.623211,California,Poleward
6,12.859781,California,Poleward
7,13.345854,California,Poleward
8,13.617555,California,Poleward
9,13.5723295,California,Poleward
10,12.8385,California,Poleward
11,12.026258,California,Poleward
12,11.072364,California,Poleward
1,17.692972,Benguela,Poleward
2,17.620079,Benguela,Poleward
3,16.909996,Benguela,Poleward
4,15.491325,Benguela,Poleward
5,14.962015,Benguela,Poleward
6,14.486384,Benguela,Poleward
7,13.965274,Benguela,Poleward
8,13.9549675,Benguela,Poleward
9,14.387752,Benguela,Poleward
10,15.085254,Benguela,Poleward
11,15.9377575,Benguela,Poleward
12,17.040565,Benguela,Poleward
1,17.20323,Benguela,Central
2,17.347286,Benguela,Central
3,16.742756,Benguela,Central
4,15.723706,Benguela,Central
5,14.851085,Benguela,Central
6,14.013231,Benguela,Central
7,13.522075,Benguela,Central
8,13.165821,Benguela,Central
9,13.261717,Benguela,Central
10,13.893315,Benguela,Central
11,14.940009,Benguela,Central
12,16.231144,Benguela,Central
1,20.185545,Benguela,Equatorward
2,21.015743,Benguela,Equatorward
3,20.812021,Benguela,Equatorward
4,19.814716,Benguela,Equatorward
5,18.135763,Benguela,Equatorward
6,16.963715,Benguela,Equatorward
7,16.163357,Benguela,Equatorward
8,15.625645,Benguela,Equatorward
9,15.748043,Benguela,Equatorward
10,16.785238,Benguela,Equatorward
11,18.086239,Benguela,Equatorward
12,18.841072,Benguela,Equatorward
