,EBUS-sub,Footprint p-model,Footprint p-montec,winter SST p-model,spring SST p-model,summer SST p-model,fall SST p-model,winter SST p-montec,spring SST p-montec,summer SST p-montec,fall SST p-montec
0,California-Equatorward,0.001,0.008,0.195,0.294,0.0,0.002,0.085,0.124,0.005,0.003
1,California-Central,0.033,0.11,0.181,0.791,0.122,0.199,0.275,0.457,0.009,0.001
2,California-Poleward,0.135,0.136,0.915,0.908,0.782,0.446,0.484,0.477,0.083,0.014
3,Humboldt-Equatorward,0.224,0.165,0.018,0.495,0.828,0.646,0.065,0.346,0.136,0.203
4,Humboldt-Central,0.542,0.171,0.241,0.98,0.452,0.811,0.039,0.481,0.031,0.353
5,Humboldt-Poleward,0.796,0.364,0.486,0.196,0.808,0.793,0.224,0.082,0.168,0.328
6,Iberian/Canary-Equatorward,0.688,0.301,0.281,0.961,0.922,0.758,0.2,0.476,0.445,0.175
7,Iberian/Canary-Central,0.424,0.198,0.014,0.912,0.889,0.709,0.042,0.473,0.335,0.036
8,Iberian/Canary-Poleward,0.689,0.232,0.953,0.625,0.99,0.992,0.458,0.296,0.485,0.492
9,Benguela-Equatorward,0.024,0.001,0.001,0.077,0.536,0.312,0.003,0.015,0.08,0.053
10,Benguela-Central,0.661,0.169,0.233,0.879,0.985,0.896,0.087,0.403,0.396,0.343
11,Benguela-Poleward,0.922,0.435,0.205,0.523,0.977,0.742,0.147,0.151,0.342,0.19
